0.395395e	0.385962e
0.397397e	0.387727e
0.399399e	0.389488e
0.401401e	0.391244e
0.403403e	0.392996e
0.405405e	0.394743e
0.407407e	0.396484e
0.409409e	0.398221e
0.411411e	0.399953e
0.413413e	0.401680e
0.415415e	0.403402e
0.417417e	0.405119e
0.419419e	0.406830e
0.421421e	0.408536e
0.423423e	0.410237e
0.425425e	0.411932e
0.427427e	0.413622e
0.429429e	0.415306e
0.431431e	0.416985e
0.433433e	0.418658e
0.435435e	0.420325e
0.437437e	0.421986e
0.439439e	0.423642e
0.441441e	0.425291e
0.443443e	0.426935e
0.445445e	0.428572e
0.447447e	0.430203e
0.449449e	0.431828e
0.451451e	0.433447e
0.453453e	0.435059e
0.455455e	0.436665e
0.457457e	0.438265e
0.459459e	0.439857e
0.461461e	0.441444e
0.463463e	0.443023e
0.465465e	0.444596e
0.467467e	0.446162e
0.469469e	0.447721e
0.471471e	0.449273e
0.473473e	0.450817e
0.475475e	0.452355e
0.477477e	0.453886e
0.479479e	0.455409e
0.481481e	0.456925e
0.483483e	0.458434e
0.485485e	0.459935e
0.487487e	0.461428e
0.489489e	0.462914e
0.491491e	0.464393e
0.493493e	0.465863e
0.495495e	0.467326e
0.497497e	0.468781e
0.499499e	0.470228e
0.501502e	0.471667e
0.503504e	0.473097e
0.505506e	0.474520e
0.507508e	0.475934e
0.509510e	0.477341e
0.511512e	0.478738e
0.513514e	0.480128e
0.515516e	0.481508e
0.517518e	0.482881e
0.519520e	0.484244e
0.521522e	0.485599e
0.523524e	0.486945e
0.525526e	0.488282e
0.527528e	0.489611e
0.529530e	0.490930e
0.531532e	0.492240e
0.533534e	0.493542e
0.535536e	0.494834e
0.537538e	0.496117e
0.539540e	0.497390e
0.541542e	0.498654e
0.543544e	0.499909e
0.545546e	0.501154e
0.547548e	0.502390e
0.549550e	0.503616e
0.551552e	0.504833e
0.553554e	0.506039e
0.555556e	0.507236e
0.557558e	0.508423e
0.559560e	0.509600e
0.561562e	0.510768e
0.563564e	0.511925e
0.565566e	0.513072e
