-0.931593e	-0.531370e
-0.931393e	-0.531453e
-0.931193e	-0.531534e
-0.930993e	-0.531616e
-0.930793e	-0.531699e
-0.930593e	-0.531779e
-0.930393e	-0.531863e
-0.930193e	-0.531944e
-0.929993e	-0.532025e
-0.929793e	-0.532107e
-0.929593e	-0.532188e
-0.929393e	-0.532268e
-0.929193e	-0.532350e
-0.928993e	-0.532432e
-0.928793e	-0.532513e
-0.928593e	-0.532594e
-0.928393e	-0.532675e
-0.928193e	-0.532756e
-0.927993e	-0.532836e
-0.927793e	-0.532918e
-0.927593e	-0.532998e
-0.927393e	-0.533079e
-0.927193e	-0.533160e
-0.926993e	-0.533241e
-0.926793e	-0.533318e
-0.926593e	-0.533401e
-0.926393e	-0.533481e
-0.926193e	-0.533561e
-0.925993e	-0.533642e
-0.925793e	-0.533722e
-0.925593e	-0.533802e
-0.925393e	-0.533880e
-0.925193e	-0.533962e
-0.924992e	-0.534041e
-0.924792e	-0.534120e
-0.924592e	-0.534200e
-0.924392e	-0.534280e
-0.924192e	-0.534361e
-0.923992e	-0.534439e
-0.923792e	-0.534519e
-0.923592e	-0.534598e
-0.923392e	-0.534677e
-0.923192e	-0.534756e
-0.922992e	-0.534835e
-0.922792e	-0.534913e
-0.922592e	-0.534994e
-0.922392e	-0.535072e
-0.922192e	-0.535151e
-0.921992e	-0.535231e
-0.921792e	-0.535306e
-0.921592e	-0.535386e
-0.921392e	-0.535466e
-0.921192e	-0.535543e
-0.920992e	-0.535621e
-0.920792e	-0.535700e
-0.920592e	-0.535778e
-0.920392e	-0.535857e
-0.920192e	-0.535936e
-0.919992e	-0.536016e
-0.919792e	-0.536090e
-0.919592e	-0.536170e
-0.919392e	-0.536247e
-0.919192e	-0.536326e
-0.918992e	-0.536403e
-0.918792e	-0.536480e
-0.918592e	-0.536559e
-0.918392e	-0.536636e
-0.918192e	-0.536714e
-0.917992e	-0.536788e
-0.917792e	-0.536867e
-0.917592e	-0.536945e
-0.917392e	-0.537021e
-0.917192e	-0.537098e
-0.916992e	-0.537174e
-0.916792e	-0.537251e
-0.916592e	-0.537329e
-0.916392e	-0.537407e
